calc_version,year,style,style_name,style_order,horizon,horizon_months,signal_type,signal_name,month_count,factor_count,factor_month_obs,win_rate,ic_std,is_partial_year,metric,metric_name,value
v1,2024,reversal,反转,5,1M,1,neutralized,Neutralized,12,2,24,0.666667,0.069865,False,IC,IC Mean,0.032107
v1,2024,risk,风险,6,1M,1,neutralized,Neutralized,12,3,36,0.583333,0.103383,False,IC,IC Mean,0.056702
v1,2025,value,价值,1,1M,1,neutralized,Neutralized,12,5,60,0.666667,0.063463,False,IC,IC Mean,0.031141
v1,2025,quality,质量,2,1M,1,neutralized,Neutralized,12,4,48,0.666667,0.028027,False,IC,IC Mean,0.008317
v1,2025,growth,成长,3,1M,1,neutralized,Neutralized,12,3,36,0.583333,0.051665,False,IC,IC Mean,0.01271
v1,2025,momentum,动量,4,1M,1,neutralized,Neutralized,12,1,12,0.416667,0.085852,False,IC,IC Mean,-0.031228
v1,2025,reversal,反转,5,1M,1,neutralized,Neutralized,12,2,24,0.916667,0.040407,False,IC,IC Mean,0.04451
v1,2025,risk,风险,6,1M,1,neutralized,Neutralized,12,3,36,0.833333,0.083342,False,IC,IC Mean,0.070188
v1,2026,value,价值,1,1M,1,neutralized,Neutralized,5,5,25,0.6,0.049478,True,IC,IC Mean,-0.00665
v1,2026,quality,质量,2,1M,1,neutralized,Neutralized,5,4,20,0.6,0.008245,True,IC,IC Mean,0.003747
v1,2026,growth,成长,3,1M,1,neutralized,Neutralized,5,3,15,0.8,0.0326,True,IC,IC Mean,0.028411
v1,2026,momentum,动量,4,1M,1,neutralized,Neutralized,5,1,5,0.6,0.075391,True,IC,IC Mean,0.036024
v1,2026,reversal,反转,5,1M,1,neutralized,Neutralized,5,2,10,0.6,0.050194,True,IC,IC Mean,-0.008869
v1,2026,risk,风险,6,1M,1,neutralized,Neutralized,5,3,15,0.4,0.076688,True,IC,IC Mean,-0.009225
v1,2015,value,价值,1,1M,1,neutralized,Neutralized,12,5,60,0.75,0.080054,False,ICIR,ICIR,0.591749
v1,2015,quality,质量,2,1M,1,neutralized,Neutralized,12,4,48,0.75,0.023251,False,ICIR,ICIR,0.530812
v1,2015,growth,成长,3,1M,1,neutralized,Neutralized,12,3,36,0.75,0.047127,False,ICIR,ICIR,0.623758
v1,2015,momentum,动量,4,1M,1,neutralized,Neutralized,12,1,12,0.25,0.068012,False,ICIR,ICIR,-0.408407
v1,2015,reversal,反转,5,1M,1,neutralized,Neutralized,12,2,24,0.75,0.086153,False,ICIR,ICIR,0.749862
v1,2015,risk,风险,6,1M,1,neutralized,Neutralized,12,3,36,0.833333,0.075133,False,ICIR,ICIR,0.707873
v1,2016,value,价值,1,1M,1,neutralized,Neutralized,12,5,60,0.916667,0.064413,False,ICIR,ICIR,1.106951
v1,2016,quality,质量,2,1M,1,neutralized,Neutralized,12,4,48,0.833333,0.017417,False,ICIR,ICIR,0.888865
v1,2016,growth,成长,3,1M,1,neutralized,Neutralized,12,3,36,0.583333,0.044727,False,ICIR,ICIR,0.310514
